date,district,crop,temperature_C,precip_mm,wind_m_s,solar_rad_MJ_m2,ETo_mm,generated_irrigated,real_soil_moisture_mm
2015-01-23,Baghpat,Wheat,13.25,2.72,1.27,9.57,2.226238986992193,0.0,197.8392337480667
2015-01-24,Baghpat,Wheat,13.51,0.0,1.96,7.97,2.199576924998685,0.0,195.639656823068
2015-01-25,Baghpat,Wheat,12.41,0.0,1.68,8.52,2.152218082645944,0.0,193.48743874042208
2015-01-26,Baghpat,Wheat,12.3,3.04,0.86,6.66,2.100175581651025,0.0,194.42726315877104
2015-01-27,Baghpat,Wheat,12.88,0.0,2.09,8.87,2.2209941018613906,0.0,192.20626905690966
2015-01-28,Baghpat,Wheat,10.91,0.0,2.17,12.32,2.1986093377076976,0.0,190.00765971920197
2015-01-29,Baghpat,Wheat,10.47,0.0,2.23,15.11,2.2594282409055917,0.0,187.7482314782964
2015-01-30,Baghpat,Wheat,11.47,0.0,2.98,16.67,2.3982648721518887,0.0,185.3499666061445
2015-01-31,Baghpat,Wheat,12.64,0.0,2.56,16.11,2.489541034753961,0.0,182.86042557139055
2015-02-01,Baghpat,Wheat,15.02,0.0,1.21,14.24,2.6344924789977755,0.0,180.22593309239278
2015-02-02,Baghpat,Wheat,15.9,0.11,1.86,12.01,2.639429709661998,0.0,177.69650338273078
2015-02-03,Baghpat,Wheat,15.66,2.13,2.68,13.42,2.6859421772023,1.0,225.0
2015-02-04,Baghpat,Wheat,14.43,0.45,2.31,10.8,2.5098776879949125,0.0,222.9401223120051
2015-02-05,Baghpat,Wheat,13.69,0.0,2.15,17.22,2.6806786060121026,0.0,220.259443705993
2015-02-06,Baghpat,Wheat,14.26,0.0,1.36,16.63,2.7246612242074737,0.0,217.53478248178553
2015-02-07,Baghpat,Wheat,16.51,0.0,1.22,15.03,2.874919827099069,0.0,214.65986265468646
2015-02-08,Baghpat,Wheat,17.21,0.0,1.85,14.42,2.9275416504520226,0.0,211.73232100423445
2015-02-09,Baghpat,Wheat,16.17,0.0,2.17,16.61,2.9344420865933674,0.0,208.79787891764107
2015-02-10,Baghpat,Wheat,15.37,0.0,2.19,17.01,2.895031400957826,0.0,205.90284751668324
2015-02-11,Baghpat,Wheat,15.1,0.0,1.63,15.59,2.8390716812030914,0.0,203.06377583548016
2015-02-12,Baghpat,Wheat,14.98,0.0,2.1,15.61,2.845518679547808,0.0,200.21825715593235
2015-02-13,Baghpat,Wheat,15.99,0.0,2.34,17.88,3.0293558397152505,0.0,197.1889013162171
2015-02-14,Baghpat,Wheat,19.16,0.0,1.42,17.43,3.3151128402009555,0.0,193.87378847601616
2015-02-15,Baghpat,Wheat,20.2,0.0,1.25,16.8,3.402924749168449,0.0,190.4708637268477
2015-02-16,Baghpat,Wheat,19.28,0.0,1.82,14.02,3.2306123694390956,0.0,187.24025135740862
2015-02-17,Baghpat,Wheat,19.72,0.0,0.97,15.62,3.351984377469864,0.0,183.88826697993875
2015-02-18,Baghpat,Wheat,20.52,0.0,1.1,14.42,3.394304599114629,0.0,180.49396238082412
2015-02-19,Baghpat,Wheat,21.9,0.02,1.36,15.76,3.5936510041114,0.0,176.92031137671273
2015-02-20,Baghpat,Wheat,21.28,3.18,1.34,16.76,3.5989688666080046,0.0,176.50134251010473
2015-02-21,Baghpat,Wheat,21.59,0.0,2.77,17.31,3.670807846838127,1.0,225.0
2015-02-22,Baghpat,Wheat,21.88,0.0,3.28,18.88,3.7831079330231834,0.0,221.2168920669768
2015-02-23,Baghpat,Wheat,20.8,0.0,1.42,17.13,3.6308218580725344,0.0,217.5860702089043
2015-02-24,Baghpat,Wheat,21.35,0.0,1.13,12.47,3.5073852854100926,0.0,214.0786849234942
2015-02-25,Baghpat,Wheat,20.75,2.38,1.88,11.68,3.4401493086128814,0.0,213.0185356148813
2015-02-26,Baghpat,Wheat,15.96,0.26,1.68,18.9,3.2916915091388983,0.0,209.9868441057424
2015-02-27,Baghpat,Wheat,16.11,0.19,1.62,19.84,3.357271016573991,0.0,206.8195730891684
2015-02-28,Baghpat,Wheat,18.12,0.56,1.15,17.46,3.487266318254886,0.0,203.8923067709135
2015-03-01,Baghpat,Wheat,15.92,34.12,4.2,3.92,2.9666916563457995,0.0,225.0
2015-03-02,Baghpat,Wheat,16.48,31.16,2.68,9.87,3.079599295743199,0.0,225.0
2015-03-03,Baghpat,Wheat,15.76,4.36,1.5,12.82,3.14436745957255,0.0,225.0
2015-03-04,Baghpat,Wheat,15.38,0.01,2.2,20.05,3.3820355678765224,0.0,221.62796443212346
2015-03-05,Baghpat,Wheat,16.7,0.02,1.58,20.74,3.5596360605877067,0.0,218.08832837153577
2015-03-06,Baghpat,Wheat,18.03,0.1,1.94,19.83,3.6828617378890782,0.0,214.50546663364668
2015-03-07,Baghpat,Wheat,19.52,2.9,1.27,14.39,3.640754939214191,0.0,213.7647116944325
2015-03-08,Baghpat,Wheat,19.73,2.61,1.68,16.2,3.754786020062461,0.0,212.61992567437005
2015-03-09,Baghpat,Wheat,15.77,3.02,2.3,21.02,3.5459433931981166,0.0,212.09398228117195
2015-03-10,Baghpat,Wheat,16.69,0.0,2.42,22.51,3.7139057240712527,0.0,208.3800765571007
2015-03-11,Baghpat,Wheat,18.09,0.0,1.85,21.3,3.83985396847799,0.0,204.5402225886227
2015-03-12,Baghpat,Wheat,20.4,0.0,1.92,20.38,4.071310475639234,0.0,200.46891211298347
2015-03-13,Baghpat,Wheat,21.16,0.06,1.19,12.93,3.861363526131327,0.0,196.66754858685215
2015-03-14,Baghpat,Wheat,21.55,0.58,0.99,12.69,3.9099362107046023,0.0,193.33761237614755
2015-03-15,Baghpat,Wheat,19.15,3.95,3.23,5.12,3.5578389716828074,0.0,193.72977340446474
2015-03-16,Baghpat,Wheat,18.99,4.87,2.15,17.9,3.90291775007548,0.0,194.69685565438925
2015-03-17,Baghpat,Wheat,19.91,0.0,2.61,21.57,4.164694058446508,0.0,190.53216159594274
2015-03-18,Baghpat,Wheat,19.58,0.0,3.18,22.53,4.184390780104555,0.0,186.34777081583817
2015-03-19,Baghpat,Wheat,20.12,0.0,2.08,23.4,4.2979751089931435,0.0,182.04979570684503
2015-03-20,Baghpat,Wheat,21.86,0.0,1.96,23.04,4.501102153765022,0.0,177.54869355308
2015-03-21,Baghpat,Wheat,23.21,0.0,2.07,22.58,4.6559997736627095,1.0,225.0
2015-03-22,Baghpat,Wheat,24.59,0.0,2.86,22.81,4.844086809867157,0.0,220.15591319013285
2015-03-23,Baghpat,Wheat,24.99,0.0,2.52,23.18,4.9274398805251804,0.0,215.22847330960766
2015-03-24,Baghpat,Wheat,26.36,0.0,1.46,24.01,5.14446008577385,0.0,210.0840132238338
2015-03-25,Baghpat,Wheat,27.39,0.0,0.98,22.14,5.200412843658619,0.0,204.88360038017518
2015-03-26,Baghpat,Wheat,27.24,0.0,1.59,21.19,5.160790603231952,0.0,199.72280977694322
2015-03-27,Baghpat,Wheat,27.43,0.01,2.32,22.75,5.277375388804598,0.0,194.45543438813863
2015-03-28,Baghpat,Wheat,26.7,0.0,2.01,24.44,5.29030123282788,0.0,189.16513315531074
2015-03-29,Baghpat,Wheat,23.86,4.42,2.57,9.97,4.334496038848146,0.0,189.25063711646257
2015-03-30,Baghpat,Wheat,20.6,8.42,2.9,18.72,4.372692129763174,0.0,193.29794498669938
2015-03-31,Baghpat,Wheat,24.23,0.05,1.53,21.55,4.930969451118826,0.0,188.41697553558058
2015-04-01,Baghpat,Wheat,26.29,0.42,1.21,20.62,5.149843493962199,0.0,183.68713204161836
2015-04-02,Baghpat,Wheat,26.88,0.41,1.33,22.75,5.338174575821624,0.0,178.75895746579673
2015-04-03,Baghpat,Wheat,24.0,8.09,2.12,16.22,4.721999225600814,0.0,182.1269582401959
2015-04-04,Baghpat,Wheat,20.12,15.16,0.96,15.96,4.289367888033048,0.0,192.99759035216286
2015-04-05,Baghpat,Wheat,22.77,0.01,1.18,24.32,4.96642032303575,0.0,188.0411700291271
2015-04-06,Baghpat,Wheat,23.75,0.0,1.83,24.36,5.106002498750295,0.0,182.93516753037682
2015-04-07,Baghpat,Wheat,24.98,0.25,1.12,20.42,5.099818570776405,0.0,178.08534895960042
2015-04-08,Baghpat,Wheat,24.56,0.48,1.8,24.45,5.245205955037273,1.0,225.0
2015-04-09,Baghpat,Wheat,24.56,0.05,2.63,26.76,5.362057038043894,0.0,219.6879429619561
2015-04-10,Baghpat,Wheat,25.56,0.0,2.49,26.52,5.49586931168368,0.0,214.19207365027242
2015-04-11,Baghpat,Wheat,28.04,0.0,1.19,23.84,5.703250158167037,0.0,208.48882349210538
2015-04-12,Baghpat,Wheat,26.7,1.8,0.91,12.12,4.986460570533639,0.0,205.30236292157176
2015-04-13,Baghpat,Wheat,25.06,1.62,1.62,17.2,5.063289906249417,0.0,201.85907301532234
2015-04-14,Baghpat,Wheat,25.48,1.57,1.04,21.53,5.330583265405159,0.0,198.09848974991718
2015-04-15,Baghpat,Wheat,27.05,2.12,0.96,21.63,5.54537720977862,0.0,194.67311254013856
2015-04-16,Baghpat,Wheat,27.0,0.58,1.71,15.88,5.276820551033663,0.0,189.9762919891049
2015-04-17,Baghpat,Wheat,27.35,0.1,3.57,24.34,5.742918208714107,0.0,184.3333737803908
2015-04-18,Baghpat,Wheat,29.82,0.0,3.18,24.4,6.0769225664848365,0.0,178.25645121390596
2015-04-19,Baghpat,Wheat,31.62,0.0,1.84,25.15,6.361991229281133,1.0,225.0
2015-04-20,Baghpat,Wheat,31.1,0.09,2.11,22.73,6.188958921578797,0.0,218.9010410784212
2015-04-21,Baghpat,Wheat,30.43,0.0,2.34,24.2,6.194136117847076,0.0,212.70690496057412
2015-04-22,Baghpat,Wheat,29.31,0.0,2.9,27.22,6.211475314510172,0.0,206.49542964606394
2015-04-23,Baghpat,Wheat,30.59,0.0,1.69,26.97,6.383595548875531,0.0,200.11183409718842
2015-04-24,Baghpat,Wheat,33.37,0.0,0.91,26.54,6.74410961209398,0.0,193.36772448509444
2015-04-25,Baghpat,Wheat,32.0,0.0,1.5,26.88,6.596166980259851,0.0,186.7715575048346
2015-04-26,Baghpat,Wheat,28.49,0.09,2.87,25.33,6.071799150895226,0.0,180.78975835393936
2015-04-27,Baghpat,Wheat,29.74,2.86,2.47,23.66,6.167414248802064,0.0,177.48234410513732
2015-04-28,Baghpat,Wheat,31.3,0.2,1.77,23.56,6.378754596551743,1.0,225.0
2015-04-29,Baghpat,Wheat,31.55,0.13,1.47,25.47,6.522925897215157,0.0,218.60707410278485
2015-04-30,Baghpat,Wheat,31.74,0.0,1.89,25.59,6.567771198149614,0.0,212.03930290463524
2015-05-01,Baghpat,None,31.32,1.63,1.0,25.17,6.503962127972289,0.0,0.0
2015-05-02,Baghpat,None,30.64,0.15,1.97,25.84,6.460061316186421,0.0,0.0
2015-05-03,Baghpat,None,31.1,0.0,1.59,26.52,6.568020663064103,0.0,0.0
2015-05-04,Baghpat,None,31.74,0.0,1.7,27.72,6.726942770543259,0.0,0.0
2015-05-05,Baghpat,None,31.75,0.0,2.06,26.76,6.691833024103867,0.0,0.0
2015-05-06,Baghpat,None,32.88,0.0,3.27,27.0,6.868834722083077,0.0,0.0
2015-05-07,Baghpat,None,33.66,0.0,2.98,26.45,6.957367142247861,0.0,0.0
2015-05-08,Baghpat,None,34.44,0.0,3.31,26.4,7.0717819559549815,0.0,0.0
2015-05-09,Baghpat,None,34.55,0.0,1.5,25.04,7.024451499518117,0.0,0.0
2015-05-10,Baghpat,None,34.85,0.0,1.58,26.03,7.129690251665699,0.0,0.0
2015-05-11,Baghpat,None,36.02,0.1,1.43,23.26,7.143671358441812,0.0,0.0
2015-05-12,Baghpat,None,35.02,0.88,1.13,25.52,7.1460609782096665,0.0,0.0
2015-05-13,Baghpat,None,33.77,0.18,1.81,16.08,6.462714630774872,0.0,0.0
2015-05-14,Baghpat,None,32.75,0.96,1.47,25.87,6.876291541846063,0.0,0.0
2015-05-15,Baghpat,None,33.25,0.11,2.64,22.83,6.791075103288717,0.0,0.0
2015-05-16,Baghpat,None,34.01,1.22,1.19,26.78,7.114552946066289,0.0,0.0
2015-05-17,Baghpat,None,34.79,0.0,1.6,27.32,7.259602049477171,0.0,0.0
2015-05-18,Baghpat,None,36.91,0.0,1.52,26.81,7.532484078007439,0.0,0.0
2015-05-19,Baghpat,None,37.85,0.0,2.81,18.29,7.166590975050038,0.0,0.0
2015-05-20,Baghpat,None,36.09,0.48,4.25,27.18,7.456552338032998,0.0,0.0
2015-05-21,Baghpat,None,36.23,0.0,4.21,27.91,7.524080026926357,0.0,0.0
2015-05-22,Baghpat,None,36.88,0.0,3.93,28.57,7.658940153747741,0.0,0.0
2015-05-23,Baghpat,None,36.86,0.0,3.97,26.9,7.570140558319392,0.0,0.0
2015-05-24,Baghpat,None,37.17,0.04,2.45,25.86,7.561054456950736,0.0,0.0
2015-05-25,Baghpat,None,37.44,0.0,2.56,25.01,7.556082947971527,0.0,0.0
2015-05-26,Baghpat,None,36.42,0.0,3.38,26.79,7.52293034886652,0.0,0.0
2015-05-27,Baghpat,None,35.32,0.28,3.33,30.25,7.563180841643549,0.0,0.0
2015-05-28,Baghpat,None,35.25,0.0,2.66,26.19,7.3392516116923785,0.0,0.0
2015-05-29,Baghpat,None,36.64,0.04,2.98,25.58,7.502574675273996,0.0,0.0
2015-05-30,Baghpat,None,36.9,0.0,3.0,27.41,7.647017121156293,0.0,0.0
2015-05-31,Baghpat,None,36.31,0.0,2.33,24.38,7.399275111417363,0.0,0.0
2015-06-01,Baghpat,Rice,35.92,0.33,1.77,16.41,6.886336237506474,0.0,38.44366376249352
2015-06-02,Baghpat,Rice,34.27,1.16,1.35,24.41,7.130524007351284,0.0,27.473139755142235
2015-06-03,Baghpat,Rice,34.81,0.31,1.28,21.2,7.0288603187070535,1.0,50.0
2015-06-04,Baghpat,Rice,34.99,0.11,1.78,25.86,7.3166869853645915,0.0,37.79331301463541
2015-06-05,Baghpat,Rice,35.0,0.51,2.07,27.09,7.388656002952029,0.0,25.914657011683378
2015-06-06,Baghpat,Rice,35.28,0.0,2.45,26.81,7.415723827631938,1.0,50.0
2015-06-07,Baghpat,Rice,36.41,0.0,2.4,27.36,7.6072926453242085,0.0,37.39270735467579
2015-06-08,Baghpat,Rice,37.98,0.0,2.67,27.42,7.833873082130299,0.0,24.558834272545493
2015-06-09,Baghpat,Rice,38.92,0.0,4.25,20.22,7.5373541124548895,1.0,50.0
2015-06-10,Baghpat,Rice,36.84,0.0,5.57,23.35,7.4465763441681645,0.0,37.553423655831836
2015-06-11,Baghpat,Rice,37.82,0.13,4.6,23.92,7.615651771256464,0.0,25.067771884575375
2015-06-12,Baghpat,Rice,37.52,0.0,4.22,25.66,7.677164529533412,1.0,50.0
2015-06-13,Baghpat,Rice,35.46,11.69,2.92,19.52,7.044115650958923,0.0,49.645884349041076
2015-06-14,Baghpat,Rice,32.48,6.73,1.88,12.94,6.279282440100461,0.0,45.09660190894061
2015-06-15,Baghpat,Rice,33.75,0.0,1.49,20.45,6.872165689238726,0.0,33.224436219701886
2015-06-16,Baghpat,Rice,34.3,0.02,1.68,24.57,7.175109513028847,0.0,21.069326706673042
2015-06-17,Baghpat,Rice,35.17,0.0,2.05,24.35,7.283133683000033,1.0,50.0
2015-06-18,Baghpat,Rice,36.02,0.63,1.38,24.47,7.407005646482056,0.0,38.22299435351795
2015-06-19,Baghpat,Rice,37.16,0.14,1.64,21.42,7.385693458524641,0.0,25.977300894993306
2015-06-20,Baghpat,Rice,36.39,2.64,1.9,21.6,7.292430590212374,1.0,50.0
2015-06-21,Baghpat,Rice,35.23,8.84,0.84,18.84,6.976832817064832,0.0,46.86316718293517
2015-06-22,Baghpat,Rice,35.52,0.27,0.85,22.92,7.24930514686502,0.0,34.883862036070155
2015-06-23,Baghpat,Rice,36.06,2.69,1.35,23.98,7.382162298275537,0.0,25.191699737794615
2015-06-24,Baghpat,Rice,34.07,1.85,1.7,18.63,6.809378828506337,1.0,50.0
2015-06-25,Baghpat,Rice,28.59,36.34,1.68,8.8,5.756580459683207,0.0,75.5834195403168
2015-06-26,Baghpat,Rice,32.12,0.0,3.49,25.17,6.900349216122878,0.0,63.68307032419392
2015-06-27,Baghpat,Rice,33.08,0.44,3.74,23.9,6.963362927389582,0.0,52.159707396804336
2015-06-28,Baghpat,Rice,34.18,0.02,2.79,24.31,7.134215044737514,0.0,40.04549235206682
2015-06-29,Baghpat,Rice,33.38,8.32,1.78,19.52,6.759457327083802,0.0,36.60603502498302
2015-06-30,Baghpat,Rice,31.94,24.4,0.91,20.59,6.624663790164886,0.0,49.38137123481813
2015-07-01,Baghpat,Rice,32.76,2.96,1.27,23.79,6.904029108155218,0.0,40.43734212666291
2015-07-02,Baghpat,Rice,32.94,0.33,1.53,23.22,6.895020529749297,0.0,28.872321596913615
2015-07-03,Baghpat,Rice,34.27,1.19,3.25,23.12,7.0669162194631925,1.0,50.0
2015-07-04,Baghpat,Rice,34.82,0.8,3.69,22.06,7.0785727996309165,0.0,38.72142720036908
2015-07-05,Baghpat,Rice,34.81,7.17,2.84,20.61,6.991357961407127,0.0,33.900069238961954
2015-07-06,Baghpat,Rice,31.77,29.84,1.86,10.33,6.118054267272867,0.0,52.62201497168908
2015-07-07,Baghpat,Rice,31.36,15.31,0.77,16.78,6.318154893167243,0.0,56.61386007852184
2015-07-08,Baghpat,Rice,31.75,4.49,0.76,20.69,6.576826868552691,0.0,49.52703320996915
2015-07-09,Baghpat,Rice,31.38,3.42,1.43,14.22,6.169841685615752,0.0,41.7771915243534
2015-07-10,Baghpat,Rice,28.95,38.32,1.66,4.67,5.751433037757815,0.0,69.34575848659559
2015-07-11,Baghpat,Rice,28.04,98.39,1.61,4.99,5.63432094019763,0.0,157.10143754639796
2015-07-12,Baghpat,Rice,28.15,14.43,2.8,5.7,5.642422980509963,0.0,160.889014565888
2015-07-13,Baghpat,Rice,28.71,6.3,0.9,23.6,6.2943255147418435,0.0,155.89468905114617
2015-07-14,Baghpat,Rice,29.31,0.86,2.38,24.3,6.404754076919314,0.0,145.34993497422687
2015-07-15,Baghpat,Rice,29.87,1.26,3.49,24.6,6.49010036164891,0.0,135.11983461257796
2015-07-16,Baghpat,Rice,30.14,0.82,2.78,19.61,6.265527505588099,0.0,124.67430710698986
2015-07-17,Baghpat,Rice,29.85,5.77,1.26,17.64,6.118379539318032,0.0,119.32592756767184
2015-07-18,Baghpat,Rice,30.05,2.8,1.11,12.45,5.856300552957732,0.0,111.2696270147141
2015-07-19,Baghpat,Rice,29.54,1.77,0.96,18.43,6.1068263280211275,0.0,101.93280068669297
2015-07-20,Baghpat,Rice,29.61,2.58,0.57,12.77,5.80661837133291,0.0,93.70618231536005
2015-07-21,Baghpat,Rice,30.26,2.91,0.92,20.67,6.302676935086244,0.0,85.31350538027381
2015-07-22,Baghpat,Rice,29.55,2.92,1.16,22.07,6.273228336932141,0.0,76.96027704334168
2015-07-23,Baghpat,Rice,29.45,0.25,1.6,22.09,6.2533444701341665,0.0,65.95693257320751
2015-07-24,Baghpat,Rice,29.62,0.4,1.25,19.4,6.130561770504745,0.0,55.226370802702775
2015-07-25,Baghpat,Rice,29.41,11.65,1.25,22.15,6.23503356974178,0.0,55.641337232961
2015-07-26,Baghpat,Rice,28.7,2.77,3.39,19.66,6.008543864271146,0.0,47.402793368689856
2015-07-27,Baghpat,Rice,28.61,2.74,2.77,22.46,6.127885737105493,0.0,39.014907631584364
2015-07-28,Baghpat,Rice,28.38,0.58,2.29,22.29,6.080451709158786,0.0,28.514455922425576
2015-07-29,Baghpat,Rice,28.2,0.01,2.73,14.91,5.675945233485051,1.0,50.0
2015-07-30,Baghpat,Rice,29.49,0.12,2.16,15.24,5.843382040754774,0.0,39.27661795924522
2015-07-31,Baghpat,Rice,28.92,9.28,2.26,14.19,5.707871218653698,0.0,37.84874674059152
2015-08-01,Baghpat,Rice,28.79,4.3,1.79,13.5,5.6455540337995345,0.0,31.503192706791985
2015-08-02,Baghpat,Rice,28.58,3.31,1.01,19.99,5.944835224500896,0.0,23.868357482291092
2015-08-03,Baghpat,Rice,27.98,0.01,1.16,23.7,6.038421066913435,1.0,50.0
2015-08-04,Baghpat,Rice,30.7,0.05,1.2,20.12,6.201515478523005,0.0,38.84848452147699
2015-08-05,Baghpat,Rice,31.38,4.81,1.23,15.71,6.038577981676273,0.0,32.61990653980072
2015-08-06,Baghpat,Rice,30.96,8.52,1.73,13.18,5.835533329665602,0.0,30.304373210135118
2015-08-07,Baghpat,Rice,29.45,14.09,1.55,11.27,5.560700482775888,0.0,33.83367272735923
2015-08-08,Baghpat,Rice,29.1,30.37,1.96,7.05,5.50631941297343,0.0,53.6973533143858
2015-08-09,Baghpat,Rice,28.28,20.47,1.59,11.25,5.396778183892332,0.0,63.770575130493455
2015-08-10,Baghpat,Rice,29.84,6.63,0.96,15.92,5.801056336825875,0.0,59.59951879366757
2015-08-11,Baghpat,Rice,29.51,11.81,0.91,8.96,5.5126304715110654,0.0,60.896888322156514
2015-08-12,Baghpat,Rice,29.23,4.88,1.07,20.99,5.961375452623153,0.0,54.81551286953336
2015-08-13,Baghpat,Rice,30.06,3.08,0.65,20.21,6.013094123901317,0.0,46.88241874563204
2015-08-14,Baghpat,Rice,30.28,1.31,0.81,11.75,5.573261646891284,0.0,37.61915709874076
2015-08-15,Baghpat,Rice,29.72,14.18,1.09,11.0,5.4765670740216965,0.0,41.32259002471906
2015-08-16,Baghpat,Rice,28.77,7.47,1.22,16.83,5.638544256626966,0.0,38.1540457680921
2015-08-17,Baghpat,Rice,29.11,5.12,1.56,18.43,5.747660208282977,0.0,32.526385559809114
2015-08-18,Baghpat,Rice,29.38,7.32,1.9,19.81,5.836397954430077,0.0,29.009987605379038
2015-08-19,Baghpat,Rice,28.76,2.07,2.69,22.62,5.883682838106035,0.0,20.196304767273006
2015-08-20,Baghpat,Rice,27.95,17.37,2.82,20.51,5.664266392822515,0.0,26.902038374450495
2015-08-21,Baghpat,Rice,27.98,6.64,2.34,16.74,5.465619317109035,0.0,23.076419057341457
2015-08-22,Baghpat,Rice,27.99,13.49,1.87,20.28,5.6272735408536185,0.0,25.939145516487837
2015-08-23,Baghpat,Rice,27.67,30.72,1.82,20.03,5.560139271513411,0.0,46.099006244974426
2015-08-24,Baghpat,Rice,27.63,4.24,2.52,22.55,5.660380726594919,0.0,39.678625518379505
2015-08-25,Baghpat,Rice,27.78,0.0,2.71,24.26,5.74363800235297,0.0,28.93498751602654
2015-08-26,Baghpat,Rice,27.78,0.18,2.36,22.43,5.64040561046989,1.0,50.0
2015-08-27,Baghpat,Rice,28.43,8.61,1.49,22.74,5.718667562022292,0.0,47.89133243797771
2015-08-28,Baghpat,Rice,28.59,0.39,1.77,20.28,5.600859806863645,0.0,37.680472631114064
2015-08-29,Baghpat,Rice,28.76,2.03,1.87,23.18,5.7453936701369255,0.0,28.965078960977138
2015-08-30,Baghpat,Rice,28.45,0.0,2.35,22.19,5.64149645222703,1.0,50.0
2015-08-31,Baghpat,Rice,27.51,3.0,2.68,23.21,5.557005379443171,0.0,42.44299462055683
2015-09-01,Baghpat,Rice,27.4,0.07,2.89,23.93,5.558934456898234,0.0,31.954060163658596
2015-09-02,Baghpat,Rice,27.19,0.15,2.57,21.66,5.4088550469437555,0.0,21.69520511671484
2015-09-03,Baghpat,Rice,27.33,3.1,1.99,21.59,5.403806272213724,1.0,50.0
2015-09-04,Baghpat,Rice,27.01,0.08,2.08,22.78,5.402292170063451,0.0,39.677707829936544
2015-09-05,Baghpat,Rice,26.74,0.0,2.45,24.05,5.40906356079598,0.0,29.268644269140566
2015-09-06,Baghpat,Rice,27.24,0.0,2.42,23.64,5.431476701423548,1.0,50.0
2015-09-07,Baghpat,Rice,27.66,0.0,2.35,23.47,5.454389770660234,0.0,39.545610229339765
2015-09-08,Baghpat,Rice,27.83,0.0,2.8,23.26,5.444828725042804,0.0,29.10078150429696
2015-09-09,Baghpat,Rice,28.32,0.0,2.88,23.49,5.493603462836549,1.0,50.0
2015-09-10,Baghpat,Rice,27.94,0.0,2.28,23.5,5.428155966008837,0.0,39.57184403399116
2015-09-11,Baghpat,Rice,28.1,0.0,1.81,22.71,5.388984376991481,0.0,29.182859656999682
2015-09-12,Baghpat,Rice,29.49,0.02,1.08,19.5,5.372000913393494,1.0,50.0
2015-09-13,Baghpat,Rice,30.01,0.01,0.87,19.93,5.43066384186987,0.0,39.579336158130126
2015-09-14,Baghpat,Rice,30.34,0.35,1.28,20.3,5.464355387233067,0.0,29.464980770897057
2015-09-15,Baghpat,Rice,30.75,0.0,1.09,20.16,5.480826149984464,1.0,50.0
2015-09-16,Baghpat,Rice,30.32,1.6,0.78,18.44,5.321866763094242,0.0,41.27813323690576
2015-09-17,Baghpat,Rice,30.81,0.0,0.67,17.71,5.314847959169477,0.0,30.963285277736283
2015-09-18,Baghpat,Rice,29.21,8.28,1.35,15.68,5.013955301395022,0.0,29.229329976341262
2015-09-19,Baghpat,Rice,29.03,6.89,1.56,17.84,5.08134185077879,0.0,26.03798812556247
2015-09-20,Baghpat,Rice,30.02,20.18,0.85,18.79,5.213580684439355,0.0,36.004407441123114
